date,dogecoin_price,stonks
2015-02-18,0.0001276194992741498,1
2015-02-19,0.0001237870081575398,-1
2015-02-20,0.0001268663320784879,1
2015-02-21,0.000125630350029293,-1
2015-02-22,0.0001259361908468355,1
2015-02-23,0.0001231512711432849,-1
2015-02-24,0.000124244093392275,1
2015-02-25,0.0001246744052368837,1
2015-02-26,0.0001252877618272547,1
2015-02-27,0.0001271113911035008,1
2015-02-28,0.0001304633194117153,1
2015-03-01,0.0001291149867751441,-1
2015-03-02,0.0001304512748945071,1
2015-03-03,0.0001299820053144736,-1
2015-03-04,0.0001281186997800588,-1
2015-03-05,0.0001285605808978542,1
2015-03-06,0.0001270842950131857,-1
2015-03-07,0.000129651119753489,1
2015-03-08,0.0001293684954498352,-1
2015-03-09,0.0001291341144922507,-1
2015-03-10,0.0001312620756550783,1
2015-03-11,0.0001301081706431065,-1
2015-03-12,0.0001357254975730508,1
2015-03-13,0.0001337435465672504,-1
2015-03-14,0.0001338793767037254,1
2015-03-15,0.0001357252544455137,1
2015-03-16,0.0001348741006985676,-1
2015-03-17,0.0001365275958526544,1
2015-03-18,0.000135297090822959,-1
2015-03-19,0.0001209263588976033,-1
2015-03-20,0.0001252504289879251,1
2015-03-21,0.0001218748120687605,-1
2015-03-22,0.0001208488836743431,-1
2015-03-23,0.0001217755449587754,1
2015-03-24,0.0001247014964936098,1
2015-03-25,0.0001182343001154827,-1
2015-03-26,0.0001186634462426834,1
2015-03-27,0.000120678809227911,1
2015-03-28,0.0001169850825572207,-1
2015-03-29,0.0001197188862858726,1
2015-03-30,0.0001158133638343597,-1
2015-03-31,0.0001164757139024949,1
2015-04-01,0.0001160370597032603,-1
2015-04-02,0.0001171870826241407,1
2015-04-03,0.0001166996526988985,-1
2015-04-04,0.0001160948904345782,-1
2015-04-05,0.0001150307420441185,-1
2015-04-06,0.0001137537273466954,-1
2015-04-07,0.0001125628521506964,-1
2015-04-08,0.0001115867984200053,-1
2015-04-09,0.0001077367110977758,-1
2015-04-10,0.0001079289340685711,1
2015-04-11,0.0001058852752344076,-1
2015-04-12,0.0001074499485298652,1
2015-04-13,0.0001060472201993379,-1
2015-04-14,0.000101024234426373,-1
2015-04-15,9.589275825366246e-05,-1
2015-04-16,9.863888543520735e-05,1
2015-04-17,0.0001007488476427565,1
2015-04-18,9.901188019355445e-05,-1
2015-04-19,9.750439585559809e-05,-1
2015-04-20,9.822747733559817e-05,1
2015-04-21,9.578893368043989e-05,-1
2015-04-22,0.0001019737262429189,1
2015-04-23,0.0001023540968164473,1
2015-04-24,0.0001007473141804584,-1
2015-04-25,9.586250923267102e-05,-1
2015-04-26,9.504792247269955e-05,-1
2015-04-27,9.113393330804482e-05,-1
2015-04-28,9.595534094436088e-05,1
2015-04-29,8.993338835311793e-05,-1
2015-04-30,8.860869468669057e-05,-1
2015-05-01,9.160517781494471e-05,1
2015-05-02,8.844165988245782e-05,-1
2015-05-03,8.734101769406228e-05,-1
2015-05-04,8.110574358609673e-05,-1
2015-05-05,8.139008798755086e-05,1
2015-05-06,7.914953883552829e-05,-1
2015-05-07,7.661643965563097e-05,-1
2015-05-08,7.911299120494132e-05,1
2015-05-09,8.183966594429773e-05,1
2015-05-10,8.210174509423774e-05,1
2015-05-11,8.131311576950969e-05,-1
2015-05-12,8.159306971314828e-05,1
2015-05-13,9.817139620589096e-05,1
2015-05-14,0.0001016411399608706,1
2015-05-15,9.978585319131005e-05,-1
2015-05-16,0.000105041575726937,1
2015-05-17,0.0001016178706191127,-1
2015-05-18,0.0001002765372435457,-1
2015-05-19,0.0001019144841105619,1
2015-05-20,0.0001069917221469531,1
2015-05-21,0.0001193845535308155,1
2015-05-22,0.0001193742610065997,-1
2015-05-23,0.0001272598674599731,1
2015-05-24,0.000125914381746703,-1
2015-05-25,0.0001292962300501406,1
2015-05-26,0.0001285083739426587,-1
2015-05-27,0.0001472060984503789,1
2015-05-28,0.0001673639542755437,1
2015-05-29,0.0001752107636705712,1
2015-05-30,0.0001597861168259521,-1
2015-05-31,0.0001470065349288488,-1
2015-06-01,0.0001397534366295383,-1
2015-06-02,0.0001299713675347868,-1
2015-06-03,0.0001425452704142134,1
2015-06-04,0.0001340235280161461,-1
2015-06-05,0.0001324235549375362,-1
2015-06-06,0.000136806136435219,1
2015-06-07,0.0001417157742673397,1
2015-06-08,0.0001372659322072735,-1
2015-06-09,0.0001406270087067516,1
2015-06-10,0.0001428961993223376,1
2015-06-11,0.000136388869504886,-1
2015-06-12,0.0001381725886694354,1
2015-06-13,0.0001381104186181352,-1
2015-06-14,0.0001436279171440244,1
2015-06-15,0.0001464157082161391,1
2015-06-16,0.0001482176479903423,1
2015-06-17,0.00017188108785403,1
2015-06-18,0.000168011602377172,-1
2015-06-19,0.0001785510309208187,1
2015-06-20,0.0001762234770098074,-1
2015-06-21,0.0001767261864960184,1
2015-06-22,0.0001740383433830968,-1
2015-06-23,0.0001745540825345465,1
2015-06-24,0.0001671438948128834,-1
2015-06-25,0.0001628496819358904,-1
2015-06-26,0.0001648820446134096,1
2015-06-27,0.0001624806940027981,-1
2015-06-28,0.0001759101003090503,1
2015-06-29,0.0001723183764274161,-1
2015-06-30,0.0001783900221953724,1
2015-07-01,0.0001779620058372876,-1
2015-07-02,0.0001728669360346979,-1
2015-07-03,0.0001710976805488526,-1
2015-07-04,0.0001704670669582504,-1
2015-07-05,0.0001723003078134926,1
2015-07-06,0.0001729324256267073,1
2015-07-07,0.0001713990445091271,-1
2015-07-08,0.0001707538976328048,-1
2015-07-09,0.0001693097228441626,-1
2015-07-10,0.0001747862943021017,1
2015-07-11,0.0001806687520026579,1
2015-07-12,0.0001732929002765326,-1
2015-07-13,0.0001842249081423629,1
2015-07-14,0.0001810137043028459,-1
2015-07-15,0.0001807121434242156,-1
2015-07-16,0.0001688378068499647,-1
2015-07-17,0.0001576333456660093,-1
2015-07-18,0.0001653587055324404,1
2015-07-19,0.0001642883643854679,-1
2015-07-20,0.0001560986987333258,-1
2015-07-21,0.0001595558055727924,1
2015-07-22,0.0001539089260483867,-1
2015-07-23,0.0001674991735511941,1
2015-07-24,0.000161432471182729,-1
2015-07-25,0.0001704687462243711,1
2015-07-26,0.0001714393556691893,1
2015-07-27,0.0001705720642368165,-1
2015-07-28,0.0001688961011487012,-1
2015-07-29,0.0001699150784495517,1
2015-07-30,0.0001672963342806603,-1
2015-07-31,0.0001676886576227113,1
2015-08-01,0.0001676583661489334,-1
2015-08-02,0.0001596021413277346,-1
2015-08-03,0.000157725197331394,-1
2015-08-04,0.0001594412400170263,1
2015-08-05,0.000161287075212931,1
2015-08-06,0.000159429774827632,-1
2015-08-07,0.0001534580394266983,-1
2015-08-08,0.0001525679920779554,-1
2015-08-09,0.0001460487345459268,-1
2015-08-10,0.0001477259041020571,1
2015-08-11,0.0001459629704475849,-1
2015-08-12,0.0001477136807682966,1
2015-08-13,0.000143744337711292,-1
2015-08-14,0.0001396239387582764,-1
2015-08-15,0.0001399914601432131,1
2015-08-16,0.0001381866886511958,-1
2015-08-17,0.0001329582027988749,-1
2015-08-18,0.0001349708953452115,1
2015-08-19,0.0001296183693466571,-1
2015-08-20,0.0001183447956837543,-1
2015-08-21,0.0001226892649424196,1
2015-08-22,0.0001249246310598831,1
2015-08-23,0.0001244392118179074,-1
2015-08-24,0.000120411959638595,-1
2015-08-25,0.0001083438064207248,-1
2015-08-26,0.000112167920377835,1
2015-08-27,0.0001156194203633322,1
2015-08-28,0.0001142826102213515,-1
2015-08-29,0.0001175025005676062,1
2015-08-30,0.0001171973173905689,-1
2015-08-31,0.0001152954579665888,-1
2015-09-01,0.0001150841998782487,-1
2015-09-02,0.0001125130841141354,-1
2015-09-03,0.0001121385553730012,-1
2015-09-04,0.0001092129637479237,-1
2015-09-05,0.0001109730926296251,1
2015-09-06,0.000116392399395937,1
2015-09-07,0.0001190069376172519,1
2015-09-08,0.0001157360767749689,-1
2015-09-09,0.0001172662415380313,1
2015-09-10,0.0001142467604994906,-1
2015-09-11,0.0001143698388982266,1
2015-09-12,0.0001157088780767901,1
2015-09-13,0.0001113776306288126,-1
2015-09-14,0.0001092808067977353,-1
2015-09-15,0.0001099571453802241,1
2015-09-16,0.0001088195452761688,-1
2015-09-17,0.000107447492507689,-1
2015-09-18,0.0001090858136321948,1
2015-09-19,0.0001100477989072485,1
2015-09-20,0.0001107288102660924,1
2015-09-21,0.0001107810296715248,1
2015-09-22,0.0001126683342588903,1
2015-09-23,0.0001116507385390903,-1
2015-09-24,0.000108434693210803,-1
2015-09-25,0.0001094442127159018,1
2015-09-26,0.0001077122951833629,-1
2015-09-27,0.0001079602299956035,1
2015-09-28,0.0001078325005484151,-1
2015-09-29,0.0001089614768110224,1
2015-09-30,0.0001072394513936488,-1
2015-10-01,0.0001093365553303302,1
2015-10-02,0.0001091252631240949,-1
2015-10-03,0.0001078687927492803,-1
2015-10-04,0.0001077092814916987,-1
2015-10-05,0.0001048026326056966,-1
2015-10-06,0.0001038463839501439,-1
2015-10-07,0.00010687031622406,1
2015-10-08,0.0001053186991003639,-1
2015-10-09,0.000104579254443973,-1
2015-10-10,0.000103765465475663,-1
2015-10-11,0.0001035391914007583,-1
2015-10-12,0.0001059730422740879,1
2015-10-13,0.0001038104191937838,-1
