date,bitcoin_price,stonks
2012-05-28,5.139,1
2012-05-29,5.1358,-1
2012-05-30,5.15,1
2012-05-31,5.135,-1
2012-06-01,5.1801,1
2012-06-02,5.2748,1
2012-06-03,5.249,-1
2012-06-04,5.2051,-1
2012-06-05,5.266,1
2012-06-06,5.44,1
2012-06-07,5.46,1
2012-06-08,5.591,1
2012-06-09,5.633,1
2012-06-10,5.56,-1
2012-06-11,5.4683,-1
2012-06-12,5.5747,1
2012-06-13,5.7,1
2012-06-14,5.929,1
2012-06-15,5.9541,1
2012-06-16,6.5,1
2012-06-17,6.4,-1
2012-06-18,6.1638,-1
2012-06-19,6.31,1
2012-06-20,6.4988,1
2012-06-21,6.67,1
2012-06-22,6.6801,1
2012-06-23,6.5478,-1
2012-06-24,6.4285,-1
2012-06-25,6.35,-1
2012-06-26,6.3048,-1
2012-06-27,6.4195,1
2012-06-28,6.647,1
2012-06-29,6.6059,-1
2012-06-30,6.65,1
2012-07-01,6.69,1
2012-07-02,6.629,-1
2012-07-03,6.76,1
2012-07-04,6.4499,-1
2012-07-05,6.5101,1
2012-07-06,6.67,1
2012-07-07,6.6481,-1
2012-07-08,6.7621,1
2012-07-09,6.799,1
2012-07-10,7.0215,1
2012-07-11,7.1999,1
2012-07-12,7.15,-1
2012-07-13,7.7644,1
2012-07-14,7.6651,-1
2012-07-15,7.5421,-1
2012-07-16,7.621,1
2012-07-17,8.4996,1
2012-07-18,8.8,1
2012-07-19,9.1098,1
2012-07-20,8.87,-1
2012-07-21,8.52,-1
2012-07-22,8.8455,1
2012-07-23,8.4096,-1
2012-07-24,8.4457,1
2012-07-25,8.6,1
2012-07-26,8.8,1
2012-07-27,8.9,1
2012-07-28,8.9,0
2012-07-29,8.8881,-1
2012-07-30,8.7103,-1
2012-07-31,9.098,1
2012-08-01,9.35,1
2012-08-02,9.5503,1
2012-08-03,10.53,1
2012-08-04,10.97,1
2012-08-05,10.984,1
2012-08-06,10.87,-1
2012-08-07,10.8552,-1
2012-08-08,11.1,1
2012-08-09,11.0553,-1
2012-08-10,11.0611,1
2012-08-11,11.3864,1
2012-08-12,11.5102,1
2012-08-13,11.624,1
2012-08-14,12.0375,1
2012-08-15,12.19,1
2012-08-16,13.25,1
2012-08-17,13.5,1
2012-08-18,11.5836,-1
2012-08-19,11.61,1
2012-08-20,8.0,-1
2012-08-21,10.1,1
2012-08-22,9.915,-1
2012-08-23,9.8068,-1
2012-08-24,10.1,1
2012-08-25,10.6,1
2012-08-26,10.5239,-1
2012-08-27,10.61,1
2012-08-28,10.95,1
2012-08-29,10.94,-1
2012-08-30,10.9169,-1
2012-08-31,10.777,-1
2012-09-01,10.16,-1
2012-09-02,9.9654,-1
2012-09-03,10.2041,1
2012-09-04,10.53,1
2012-09-05,10.3847,-1
2012-09-06,10.9997,1
2012-09-07,11.181,1
2012-09-08,11.0,-1
2012-09-09,11.037,1
2012-09-10,11.02,-1
2012-09-11,11.17,1
2012-09-12,11.3308,1
2012-09-13,11.3649,1
2012-09-14,11.399,1
2012-09-15,11.67,1
2012-09-16,11.75,1
2012-09-17,11.87,1
2012-09-18,11.89,1
2012-09-19,12.25,1
2012-09-20,12.5725,1
2012-09-21,12.2825,-1
2012-09-22,12.368,1
2012-09-23,12.2378,-1
2012-09-24,12.1933,-1
2012-09-25,12.1,-1
2012-09-26,12.197,1
2012-09-27,12.27,1
2012-09-28,12.3089,1
2012-09-29,12.391,1
2012-09-30,12.3631,-1
2012-10-01,12.4,1
2012-10-02,12.4,0
2012-10-03,12.84,1
2012-10-04,12.89,1
2012-10-05,12.85,-1
2012-10-06,12.688,-1
2012-10-07,12.505,-1
2012-10-08,11.8,-1
2012-10-09,11.7781,-1
2012-10-10,11.895,1
2012-10-11,12.12,1
2012-10-12,12.03,-1
2012-10-13,12.0,-1
2012-10-14,11.861,-1
2012-10-15,11.7389,-1
2012-10-16,11.8381,1
2012-10-17,11.8499,1
2012-10-18,11.81,-1
2012-10-19,11.9398,1
2012-10-20,11.7401,-1
2012-10-21,11.7399,-1
2012-10-22,11.6311,-1
2012-10-23,11.7101,1
2012-10-24,11.65,-1
2012-10-25,11.65,0
2012-10-26,10.8616,-1
2012-10-27,10.1706,-1
2012-10-28,10.2605,1
2012-10-29,10.7,1
2012-10-30,10.6,-1
2012-10-31,10.8875,1
2012-11-01,11.201,1
2012-11-02,10.57,-1
2012-11-03,10.4688,-1
2012-11-04,10.6425,1
2012-11-05,10.8001,1
2012-11-06,10.748,-1
2012-11-07,10.899,1
2012-11-08,10.92,1
2012-11-09,10.925,1
2012-11-10,10.815,-1
2012-11-11,10.89,1
2012-11-12,10.8687,-1
2012-11-13,11.008,1
2012-11-14,10.9512,-1
2012-11-15,10.95,-1
2012-11-16,11.1977,1
2012-11-17,11.7489,1
2012-11-18,11.7889,1
2012-11-19,11.6515,-1
2012-11-20,11.7999,1
2012-11-21,11.7328,-1
2012-11-22,11.77,1
2012-11-23,12.4219,1
2012-11-24,12.345,-1
2012-11-25,12.4115,1
2012-11-26,12.4821,1
2012-11-27,12.2455,-1
2012-11-28,12.2,-1
2012-11-29,12.3477,1
2012-11-30,12.45,1
2012-12-01,12.565,1
2012-12-02,12.562,-1
2012-12-03,12.5,-1
2012-12-04,12.679,1
2012-12-05,13.41,1
2012-12-06,13.38,-1
2012-12-07,13.299,-1
2012-12-08,13.4999,1
2012-12-09,13.4201,-1
2012-12-10,13.388,-1
2012-12-11,13.4334,1
2012-12-12,13.557,1
2012-12-13,13.6989,1
2012-12-14,13.7001,1
2012-12-15,13.6,-1
2012-12-16,13.4901,-1
2012-12-17,13.3,-1
2012-12-18,13.2501,-1
2012-12-19,13.299,1
2012-12-20,13.599,1
2012-12-21,13.5246,-1
2012-12-22,13.5,-1
2012-12-23,13.3714,-1
2012-12-24,13.312,-1
2012-12-25,13.38,1
2012-12-26,13.35,-1
2012-12-27,13.4679,1
2012-12-28,13.4217,-1
2012-12-29,13.4212,-1
2012-12-30,13.4,-1
2012-12-31,13.45,1
2013-01-01,13.51,1
2013-01-02,13.3041,-1
2013-01-03,13.28,-1
2013-01-04,13.3979,1
2013-01-05,13.5,1
2013-01-06,13.44,-1
2013-01-07,13.454,1
2013-01-08,13.5876,1
2013-01-09,13.7428,1
2013-01-10,13.77,1
2013-01-11,14.14,1
2013-01-12,14.137,-1
2013-01-13,14.237,1
2013-01-14,14.116,-1
2013-01-15,14.3,1
2013-01-16,14.25,-1
2013-01-17,14.73,1
2013-01-18,15.5,1
2013-01-19,15.705,1
2013-01-20,15.615,-1
2013-01-21,15.7,1
2013-01-22,16.8,1
2013-01-23,17.2614,1
2013-01-24,17.5,1
2013-01-25,16.896,-1
2013-01-26,17.4,1
2013-01-27,17.88,1
2013-01-28,17.8182,-1
2013-01-29,18.721,1
2013-01-30,19.5254,1
2013-01-31,19.7,1
2013-02-01,20.41,1
2013-02-02,20.499,1
2013-02-03,19.63,-1
2013-02-04,20.59,1
2013-02-05,20.4301,-1
2013-02-06,20.6,1
2013-02-07,21.18,1
2013-02-08,22.15,1
2013-02-09,22.66,1
2013-02-10,23.65,1
2013-02-11,23.9698,1
2013-02-12,24.65,1
2013-02-13,25.1698,1
2013-02-14,24.2,-1
2013-02-15,27.2205,1
2013-02-16,27.1,-1
2013-02-17,27.2158,1
2013-02-18,26.8146,-1
2013-02-19,26.95,1
2013-02-20,29.4176,1
2013-02-21,29.645,1
2013-02-22,29.7477,1
2013-02-23,30.2454,1
2013-02-24,29.8,-1
2013-02-25,29.89,1
2013-02-26,30.4,1
2013-02-27,31.1,1
2013-02-28,30.9012,-1
2013-03-01,33.38,1
2013-03-02,34.5,1
2013-03-03,34.25,-1
2013-03-04,34.5,1
2013-03-05,36.152,1
2013-03-06,40.33,1
2013-03-07,41.0201,1
2013-03-08,42.0,1
2013-03-09,44.18,1
2013-03-10,46.85,1
2013-03-11,46.0,-1
2013-03-12,48.4,1
2013-03-13,44.2899,-1
2013-03-14,46.92,1
2013-03-15,47.1696,1
2013-03-16,46.95,-1
2013-03-17,47.0002,1
2013-03-18,47.4,1
2013-03-19,51.6,1
2013-03-20,59.14,1
2013-03-21,64.4888,1
2013-03-22,70.85,1
2013-03-23,69.865,-1
2013-03-24,64.35,-1
2013-03-25,71.5,1
2013-03-26,73.6,1
2013-03-27,78.5,1
2013-03-28,88.92,1
2013-03-29,86.18,-1
2013-03-30,90.5,1
2013-03-31,92.19,1
2013-04-01,93.03,1
2013-04-02,104.0,1
2013-04-03,117.98,1
2013-04-04,135.0,1
2013-04-05,132.12,-1
2013-04-06,142.3236,1
2013-04-07,142.6311,1
2013-04-08,162.301,1
2013-04-09,187.5,1
2013-04-10,230.0,1
2013-04-11,165.0,-1
2013-04-12,124.9,-1
2013-04-13,117.0,-1
2013-04-14,93.0,-1
2013-04-15,90.0,-1
2013-04-16,82.386,-1
